

[Resources Allocations]
Index	Type	Allocating Function	Thread ID	Fiber Address	File	Module	Handle	Class	Type
8475	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x0067057f	User32	DestroyMenu
8506	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x00190679	User32	DestroyMenu
8534	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x000a069f	User32	DestroyMenu
8569	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x001f0585	User32	DestroyMenu
8609	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x001a0675	User32	DestroyMenu
8649	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x002c0591	User32	DestroyMenu
10103	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x4f6403e7	User32	DestroyMenu
12501	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x04010683	User32	DestroyMenu
13543	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x007405a5	User32	DestroyMenu
13883	Res: 	BkWndHotkeyProc	0xf00	00000000	e:\my program\t2\hidedragon\hd2.cpp - line 2688	E:\My Program\T2\Output\debug\HideDragon.exe	0x0000c05b	Kernel32	GlobalDeleteAtom
15844	Res: 	RegisterBKHotkey	0xf00	00000000	e:\my program\t2\hidedragon\hd2.cpp - line 5356	E:\My Program\T2\Output\debug\HideDragon.exe	0x0000c05c	Kernel32	GlobalDeleteAtom
16641	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x0712035d	User32	DestroyMenu
16688	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x00a90593	User32	DestroyMenu
16914	Res: 	AddtionalPageProc	0xf00	00000000	e:\my program\t2\hidedragon\hd2.cpp - line 4770	E:\My Program\T2\Output\debug\HideDragon.exe	0xa3101ac7	Gdi32	DeleteObject
26133	Res: 	MainProc1	0xf00	00000000	e:\my program\t2\hidedragon\hd.cpp - line 2177	E:\My Program\T2\Output\debug\HideDragon.exe	0x00700687	User32	DestroyMenu
